Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2016-03-05,Work,Rihanna Featuring Drake,4,4
2016-02-27,Love Yourself,Justin Bieber,13,2
2016-02-20,Pillowtalk,Zayn,1,
2016-02-13,Love Yourself,Justin Bieber,11,2
2016-02-06,Sorry,Justin Bieber,13,
2016-01-30,Sorry,Justin Bieber,12,
2016-01-23,Sorry,Justin Bieber,11,2
2016-01-16,Hello,Adele,10,
2016-01-09,Hello,Adele,9,
2016-01-02,Hello,Adele,8,
2015-12-26,Hello,Adele,7,
2015-12-19,Hello,Adele,6,
2015-12-12,Hello,Adele,5,
2015-12-05,Hello,Adele,4,
2015-11-28,Hello,Adele,3,
2015-11-21,Hello,Adele,2,
2015-11-14,Hello,Adele,1,
2015-11-07,The Hills,The Weeknd,22,
2015-10-31,The Hills,The Weeknd,21,
2015-10-24,The Hills,The Weeknd,20,
2015-10-17,The Hills,The Weeknd,19,
2015-10-10,The Hills,The Weeknd,18,
2015-10-03,The Hills,The Weeknd,17,2
2015-09-26,Can't Feel My Face,The Weeknd,14,2
2015-09-19,What Do You Mean?,Justin Bieber,1,
2015-09-12,Can't Feel My Face,The Weeknd,12,2
2015-09-05,Cheerleader,OMI,18,
2015-08-29,Cheerleader,OMI,17,2
2015-08-22,Can't Feel My Face,The Weeknd,9,2
2015-08-15,Cheerleader,OMI,15,
2015-08-08,Cheerleader,OMI,14,
2015-08-01,Cheerleader,OMI,13,
2015-07-25,Cheerleader,OMI,12,2
2015-07-18,See You Again,Wiz Khalifa Featuring Charlie Puth,17,
2015-07-11,See You Again,Wiz Khalifa Featuring Charlie Puth,16,
2015-07-04,See You Again,Wiz Khalifa Featuring Charlie Puth,15,
2015-06-27,See You Again,Wiz Khalifa Featuring Charlie Puth,14,
2015-06-20,See You Again,Wiz Khalifa Featuring Charlie Puth,13,
2015-06-13,See You Again,Wiz Khalifa Featuring Charlie Puth,12,2
2015-06-06,Bad Blood,Taylor Swift Featuring Kendrick Lamar,4,53
2015-05-30,See You Again,Wiz Khalifa Featuring Charlie Puth,10,
2015-05-23,See You Again,Wiz Khalifa Featuring Charlie Puth,9,
2015-05-16,See You Again,Wiz Khalifa Featuring Charlie Puth,8,
2015-05-09,See You Again,Wiz Khalifa Featuring Charlie Puth,7,
2015-05-02,See You Again,Wiz Khalifa Featuring Charlie Puth,6,
2015-04-25,See You Again,Wiz Khalifa Featuring Charlie Puth,5,10
2015-04-18,Uptown Funk!,Mark Ronson Featuring Bruno Mars,21,
2015-04-11,Uptown Funk!,Mark Ronson Featuring Bruno Mars,20,
2015-04-04,Uptown Funk!,Mark Ronson Featuring Bruno Mars,19,
2015-03-28,Uptown Funk!,Mark Ronson Featuring Bruno Mars,18,
2015-03-21,Uptown Funk!,Mark Ronson Featuring Bruno Mars,17,
2015-03-14,Uptown Funk!,Mark Ronson Featuring Bruno Mars,16,
2015-03-07,Uptown Funk!,Mark Ronson Featuring Bruno Mars,15,
2015-02-28,Uptown Funk!,Mark Ronson Featuring Bruno Mars,14,
2015-02-21,Uptown Funk!,Mark Ronson Featuring Bruno Mars,13,
2015-02-14,Uptown Funk!,Mark Ronson Featuring Bruno Mars,12,
2015-02-07,Uptown Funk!,Mark Ronson Featuring Bruno Mars,11,
2015-01-31,Uptown Funk!,Mark Ronson Featuring Bruno Mars,10,
2015-01-24,Uptown Funk!,Mark Ronson Featuring Bruno Mars,9,
2015-01-17,Uptown Funk!,Mark Ronson Featuring Bruno Mars,8,2
2015-01-10,Blank Space,Taylor Swift,9,
2015-01-03,Blank Space,Taylor Swift,8,
2014-12-27,Blank Space,Taylor Swift,7,
2014-12-20,Blank Space,Taylor Swift,6,
2014-12-13,Blank Space,Taylor Swift,5,
2014-12-06,Blank Space,Taylor Swift,4,
2014-11-29,Blank Space,Taylor Swift,3,13
2014-11-22,Shake It Off,Taylor Swift,12,
2014-11-15,Shake It Off,Taylor Swift,11,2
2014-11-08,All About That Bass,Meghan Trainor,16,
2014-11-01,All About That Bass,Meghan Trainor,15,
2014-10-25,All About That Bass,Meghan Trainor,14,
2014-10-18,All About That Bass,Meghan Trainor,13,
2014-10-11,All About That Bass,Meghan Trainor,12,
2014-10-04,All About That Bass,Meghan Trainor,11,
2014-09-27,All About That Bass,Meghan Trainor,10,
2014-09-20,All About That Bass,Meghan Trainor,9,2
2014-09-13,Shake It Off,Taylor Swift,2,
2014-09-06,Shake It Off,Taylor Swift,1,
2014-08-30,Rude,MAGIC!,17,
2014-08-23,Rude,MAGIC!,16,
2014-08-16,Rude,MAGIC!,15,
2014-08-09,Rude,MAGIC!,14,
2014-08-02,Rude,MAGIC!,13,
2014-07-26,Rude,MAGIC!,12,2
2014-07-19,Fancy,Iggy Azalea Featuring Charli XCX,18,
2014-07-12,Fancy,Iggy Azalea Featuring Charli XCX,17,
2014-07-05,Fancy,Iggy Azalea Featuring Charli XCX,16,
2014-06-28,Fancy,Iggy Azalea Featuring Charli XCX,15,
2014-06-21,Fancy,Iggy Azalea Featuring Charli XCX,14,
2014-06-14,Fancy,Iggy Azalea Featuring Charli XCX,13,
2014-06-07,Fancy,Iggy Azalea Featuring Charli XCX,12,2
2014-05-31,All Of Me,John Legend,32,
2014-05-24,All Of Me,John Legend,31,
2014-05-17,All Of Me,John Legend,30,2
2014-05-10,Happy,Pharrell Williams,17,
2014-05-03,Happy,Pharrell Williams,16,
2014-04-26,Happy,Pharrell Williams,15,
2014-04-19,Happy,Pharrell Williams,14,
2014-04-12,Happy,Pharrell Williams,13,
2014-04-05,Happy,Pharrell Williams,12,
2014-03-29,Happy,Pharrell Williams,11,
2014-03-22,Happy,Pharrell Williams,10,
2014-03-15,Happy,Pharrell Williams,9,
2014-03-08,Happy,Pharrell Williams,8,2
2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22,
2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21,
2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20,
2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19,2
2014-02-01,Timber,Pitbull Featuring Ke$ha,15,
2014-01-25,Timber,Pitbull Featuring Ke$ha,14,
2014-01-18,Timber,Pitbull Featuring Ke$ha,13,2
2014-01-11,The Monster,Eminem Featuring Rihanna,9,
2014-01-04,The Monster,Eminem Featuring Rihanna,8,
